appid,price,rating_count_tot
281656475,3.99,21292
281796108,0,161065
281940292,0,188583
282614216,0,262241
282935706,0,985920
283619399,0.99,8253
283646709,0,119487
284035177,0,1126879
284666222,9.99,1117
284736660,3.99,7885
284791396,4.99,76720
284815117,7.99,105776
284815942,0,479440
284847138,0,119773
284862767,4.99,6340
284876795,0,56194
284882215,0,2974676
284910350,0,223885
284993459,0,402925
285005463,2.99,31456
285946052,1.99,2929
285994151,2.99,11447
286058814,0,137951
286070473,5.99,8
286799607,3.99,3241
286906691,0,5795
286911400,0,42316
288113403,0,123215
288120394,4.99,782
288419283,9.99,3449
288429040,0,71856
289084315,1.99,13350
289446241,0.99,137
289523017,0,180087
289894882,0.99,33426
290638154,0,293228
290807369,1.99,21609
290986013,4.99,4684
291430598,2.99,2104
292421271,2.99,41633
292628469,2.99,3610
292738169,0,4677
293118835,3.99,30
293523031,0,48905
293573778,4.99,32
293622097,0,446185
293760823,1.99,21825
293778748,0,508808
294056623,0,57500
294536447,1.99,2576
294631159,1.99,1572
294934058,2.99,3292
295430577,4.99,8932
295646461,0,495626
295759189,0.99,812
295775656,2.99,1583
296581815,0,113936
297244048,4.99,2027
297332787,3.99,768
297368629,0,373835
297430070,0,108131
297606726,0.99,18943
297606951,0,126312
297694601,4.99,35735
298127110,4.99,410
298206806,12.99,1390
298596830,0,38
298867247,0,233270
299029654,21.99,64
299515267,0,109349
299853944,0,2229
299949744,1.99,14970
300048137,0,144214
300238550,0,232940
300255638,0,48407
300265786,0.99,5531
300590611,1.99,3393
300704847,0,65016
301387274,0.99,187529
301521403,0,33969
301724680,0,48822
302049354,1.99,59155
302584613,0,252076
303058767,1.99,4913
303191318,0,1744
303337299,0.99,16567
303849934,0,187315
304731501,2.99,4781
304770340,3.99,94
304871603,0.99,29554
304871622,0.99,32988
304878510,0,373519
305343404,0,334293
305557780,1.99,2302
305939712,0,60659
306169895,2.99,2562
306257910,4.99,3042
306375551,0.99,338
306468004,2.99,16434
306561234,2.99,10046
306621789,0,29107
306628397,1.99,878
306937053,0.99,1140
307132353,2.99,35074
307184892,0,59639
307219387,4.99,2913
307354030,0,39722
307386350,0,81006
307569751,0,53465
307727765,0.99,395261
307741537,1.99,2021
307764057,0,182
307906541,0,291787
308111628,1.99,2441
308339980,0.99,1372
308368164,249.99,773
308750436,0,200047
308834491,0,112
309025938,0,148160
309172177,0,108507
309187846,0,46
309465525,0,51427
309527804,0.99,53821
309735670,0,38681
310303959,0.99,17776
310633997,0,287589
310636441,2.99,7308
310738695,0,342969
310951782,4.99,6093
311466554,4.99,5452
311548709,0,43064
311762416,0,64
311785642,0,220
311972587,0,114096
312220102,9.99,1296
312266675,2.99,1293
312325565,0,19946
312343159,0,88613
313199385,0.99,107727
314303518,0.99,21416
314506629,2.99,533
314652382,2.99,32650
314716233,0,164963
314819528,1.99,141
314855255,0,80424
314864297,0.99,17190
315021242,0.99,7973
316025912,2.99,19621
316227296,3.99,7315
316391924,0,118
317469184,0,290996
317809458,3.99,2785
317904170,6.99,54408
318304532,9.99,8138
318592730,0,123190
318639200,0.99,23810
319204550,0,54192
319284643,0,20953
319295332,9.99,71609
319740707,0,32881
319881193,0,23201
320029256,0,17906
320279293,74.99,927
320300350,1.99,18920
320596872,0.99,30
320599923,0,77
320606217,0,104539
320636131,0.99,4016
320650307,1.99,299
321369231,1.99,5758
321756558,0,5565
322423174,0.99,213092
322439990,0,150158
322523436,4.99,6046
323229106,0,345046
323242790,0.99,35930
323438913,0.99,22557
324266640,0.99,292
324684580,0,878563
324887734,0,22
325462190,0,10472
325658560,0,115
325683306,1.99,13915
325954996,1.99,6780
325962257,7.99,1701
326082487,1.99,6
326161564,0,19
326574411,4.99,3483
326876192,0,2838
326885152,0,117889
326979430,0.99,50710
327193945,2.99,3960
327243363,0,24258
327455869,0,37522
327630330,0,49578
328011357,0.99,626
328205875,1.99,9286
328415391,0,190670
329127297,19.99,2429
329174056,3.99,0
329541503,0,12811
329670577,1.99,32338
329703516,4.99,262
329887910,0.99,9657
329981776,2.99,18332
330376830,0,53620
330803072,0.99,38533
331004675,0.99,40
331177703,1.99,472
331177714,0,303856
331259725,0,2070
331271904,2.99,7941
331308914,0,136833
331786748,0,112886
331804452,0,26353
332568551,0,171055
333180061,2.99,4540
333206289,0,1926
333246187,3.99,14345
333263435,4.99,1340
333710667,3.99,31912
333903271,0,354058
334235181,0,248
334256223,0,11691
334264405,1.99,381
334503000,0,18884
