appid,userid,user_rating
281656475,1,4.5
281796108,2,3.5
281940292,1,4.5
282614216,2,4.5
282935706,3,5
283619399,4,4
283646709,5,4.5
284035177,6,4.5
284666222,7,5
284736660,8,4
284791396,9,4.5
284815117,10,2.5
284815942,11,4
284847138,12,4.5
284862767,13,4.5
284876795,14,3.5
284882215,15,3.5
284910350,16,4.5
284993459,17,4.5
285005463,18,3.5
285946052,19,4.5
285994151,20,5
286058814,1,4.5
286070473,2,0
286799607,3,4
286906691,4,4
286911400,5,3.5
288113403,6,5
288120394,7,3.5
288419283,8,4.5
288429040,9,4.5
289084315,10,5
289446241,11,0
289523017,12,4.5
289894882,13,5
290638154,14,3
290807369,15,2.5
290986013,16,4
291430598,17,0
292421271,18,3
292628469,19,5
292738169,20,4
293118835,1,0
293523031,2,4.5
293573778,3,0
293622097,4,3.5
293760823,5,4
293778748,6,4.5
294056623,7,4
294536447,8,5
294631159,9,4.5
294934058,10,5
295430577,11,5
295646461,12,4.5
295759189,13,4
295775656,14,4.5
296581815,15,5
297244048,16,5
297332787,17,4
297368629,18,4.5
297430070,19,2
297606726,20,4.5
297606951,1,3
297694601,2,4.5
298127110,3,2.5
298206806,4,5
298596830,5,5
298867247,6,4.5
299029654,7,0
299515267,8,5
299853944,9,1
299949744,10,4.5
300048137,11,4
300238550,12,4.5
300255638,13,3.5
300265786,14,2.5
300590611,15,4
300704847,16,5
301387274,17,4
301521403,18,5
301724680,19,4
302049354,20,2.5
302584613,1,4.5
303058767,2,4
303191318,3,0
303337299,4,4.5
303849934,5,4
304731501,6,5
304770340,7,4.5
304871603,8,5
304871622,9,4
304878510,10,4
305343404,11,4
305557780,12,5
305939712,13,2.5
306169895,14,4.5
306257910,15,4
306375551,16,2
306468004,17,4.5
306561234,18,5
306621789,19,4
306628397,20,4.5
306937053,1,3.5
307132353,2,4
307184892,3,2.5
307219387,4,5
307354030,5,0
307386350,6,3
307569751,7,4
307727765,8,4.5
307741537,9,4.5
307764057,10,0
307906541,11,5
308111628,12,5
308339980,13,4
308368164,14,3.5
308750436,15,4
308834491,16,0
309025938,17,3.5
309172177,18,3
309187846,19,0
309465525,20,5
309527804,1,4
309735670,2,4.5
310303959,3,5
310633997,4,4.5
310636441,5,4.5
310738695,6,4.5
310951782,7,5
311466554,8,4.5
311548709,9,2.5
311762416,10,5
311785642,11,5
311972587,12,4
312220102,13,5
312266675,14,5
312325565,15,2.5
312343159,16,4.5
313199385,17,4.5
314303518,18,4.5
314506629,19,4
314652382,20,3.5
314716233,1,4
314819528,2,3
314855255,3,4.5
314864297,4,4.5
315021242,5,5
316025912,6,4.5
316227296,7,4.5
316391924,8,0
317469184,9,3.5
317809458,10,4
317904170,11,2
318304532,12,4.5
318592730,13,3
318639200,14,4
319204550,15,2
319284643,16,4
319295332,17,4
319740707,18,2
319881193,19,2
320029256,20,3
320279293,1,2.5
320300350,2,4.5
320596872,3,0
320599923,4,4
320606217,5,4.5
320636131,6,5
320650307,7,4.5
321369231,8,3
321756558,9,4.5
322423174,10,4.5
322439990,11,5
322523436,12,4
323229106,13,4.5
323242790,14,4
323438913,15,4
324266640,16,5
324684580,17,4.5
324887734,18,0
325462190,19,2
325658560,20,5
325683306,1,5
325954996,2,4.5
325962257,3,4.5
326082487,4,0
326161564,5,0
326574411,6,5
326876192,7,2.5
326885152,8,4.5
326979430,9,4
327193945,10,0
327243363,11,2.5
327455869,12,3
327630330,13,3
328011357,14,5
328205875,15,3.5
328415391,16,2.5
329127297,17,3.5
329174056,18,0
329541503,19,1.5
329670577,20,4.5
329703516,1,4
329887910,2,4.5
329981776,3,5
330376830,4,5
330803072,5,3.5
331004675,6,0
331177703,7,0
331177714,8,4.5
331259725,9,0
331271904,10,3.5
331308914,11,4.5
331786748,12,1.5
331804452,13,2.5
332568551,14,3.5
333180061,15,4.5
333206289,16,3
333246187,17,2.5
333263435,18,5
333710667,19,5
333903271,20,4
334235181,1,0
334256223,2,4.5
334264405,3,2
334503000,4,4.5
334989259,5,4.5
335029050,6,4
335047649,7,4.5
335364882,8,4
335545504,9,5
335709058,10,4.5
335744614,11,2.5
335862325,12,2.5
335875911,13,5
335989871,14,4.5
336141475,15,0
336347946,16,4
336353151,17,4.5
336435697,18,0
336477530,19,4
336599882,20,3.5
336683524,1,2.5
336689375,2,4
336834650,3,5
336860594,4,5
337021781,5,2.5
337056601,6,0
337288863,7,3.5
337402021,8,4.5
337462979,9,4
337571576,10,2
337710261,11,0
337866370,12,4.5
338057689,13,4
338137227,14,4
338761996,15,0
338828953,16,4.5
339440515,17,4
339462921,18,4
339532909,19,4.5
340368403,20,0
340769953,1,4.5
